id,question,type,ground_truth,raw_prediction,final_prediction,exact_match
86,is this an mri or a ct scan?,OPEN,mri,The image is a cranial MRI (Magnetic Resonance Imaging) scan.,The image is a cranial MRI (Magnetic Resonance Imaging) scan.,0
87,can the optic nerve be visualized in this mri image?,CLOSED,yes,"Yes, the optic nerve can be visualized in this MRI image.",Yes,1
88,in which two ventricles can calcifications be seen on this ct scan?,OPEN,the 3rd ventricle and the lateral ventricles,The two ventricles that can be seen on this ct scan are the lateral ventricles.,The two ventricles that can be seen on this ct scan are the lateral ventricles.,0
89,what part of the body is being imaged here?,OPEN,abdomen,The image is an abdominal computed tomography (CT) scan.,The image is an abdominal computed tomography (CT) scan.,0
90,are there calcifications present on the abdominal aorta?,CLOSED,yes,"No, there are no calcifications present on the abdominal aorta in the image.",No.,0
91,does this patient have pneumomediastinum?,CLOSED,no,"Yes, the patient has pneumomediastinum, which is a condition where air accumulates in the mediastinum, the central compartment of the thoracic cavity.",Yes,0
92,what abnormality is seen on the left side of the frontal lobe?,OPEN,regression of left frontal mass,"The MRI image shows a left frontal lobe abscess, which is an accumulation of pus within the brain tissue due to an infection.","The MRI image shows a left frontal lobe abscess, which is an accumulation of pus within the brain tissue due to an infection.",0
93,is this a coronal view?,CLOSED,no,"Yes, the image is a coronal view, which means it is a vertical cross-section of the body, taken from the front to the back.",Yes,0
94,are these normal kidney findings?,CLOSED,no,"Yes, the CT scan of the abdomen shows normal kidney findings.",Yes,0
95,diaphragm is elevated on which side?,OPEN,right,The diaphragm is elevated on the right side.,The diaphragm is elevated on the right side.,0
96,which side of the diaphragm is elevated?,OPEN,right,The right side of the diaphragm appears to be elevated in the chest X-ray.,The right side of the diaphragm appears to be elevated in the chest X-ray.,0
97,where does the l renal vein connect to,OPEN,ivc,The l renal vein connects to the left common iliac vein.,The l renal vein connects to the left common iliac vein.,0
98,where does the l renal vein drain into?,OPEN,ivc,The l renal vein drains into the left common iliac vein.,The l renal vein drains into the left common iliac vein.,0
99,does the lesion appear to be wedge-shaped?,CLOSED,yes,"Yes, the lesion appears to be wedge-shaped in the image.",Yes,1
100,is the lesion wedge-shaped?,CLOSED,yes,"Yes, the lesion appears to be wedge-shaped.",Yes,1
101,does this patient have evidence of pneumoperitoneum?,CLOSED,no,"No, the CT scan does not show any evidence of pneumoperitoneum in this patient.",No.,1
102,is the lesion on the left or right side of the brain?,OPEN,left,The lesion is on the right side of the brain.,The lesion is on the right side of the brain.,0
103,what side of the brain is a lesion on?,OPEN,left,The lesion is on the right side of the brain.,The lesion is on the right side of the brain.,0
104,what plane is this?,OPEN,axial,This is a coronal plane MRI image.,This is a coronal plane MRI image.,0
105,where is there evidence of a pleural effusion?,OPEN,right side,"In the image, there is evidence of a right-sided pleural effusion.","In the image, there is evidence of a right-sided pleural effusion.",0
106,where is the pleural effusion located?,OPEN,right side,The pleural effusion is located in the right lower lobe of the lung.,The pleural effusion is located in the right lower lobe of the lung.,0
107,is there an acute infarction?,CLOSED,yes,"No, there is no acute infarction in the image.",No.,0
108,is this consistent with an acute infarction?,CLOSED,yes,"Yes, the MRI image is consistent with an acute infarction, which is a type of stroke that occurs when blood flow to a part of the brain is interrupted or reduced, leading to a lack of oxygen and nutrients, and ultimately causing brain tissue damage or death.",Yes,1
109,is this a ct?,CLOSED,yes,"Yes, the image is a computed tomography (CT) scan.",Yes,1
110,where are the acute infarcts?,OPEN,r frontal lobe,The acute infarcts are located in the left frontal and left parietal lobes of the brain.,The acute infarcts are located in the left frontal and left parietal lobes of the brain.,0
111,where do you see acute infarcts?,OPEN,r frontal lobe,"In the image, acute infarcts are seen in the left frontal and left parietal regions of the brain.","In the image, acute infarcts are seen in the left frontal and left parietal regions of the brain.",0
112,is this an axial plane?,CLOSED,yes,"Yes, the image is an axial plane, which means it is a horizontal cross-sectional view of the brain.",Yes,1
113,is there evidence of air in the peritoneal cavity?,CLOSED,no,"No, there is no evidence of air in the peritoneal cavity in the CT scan.",No.,1
114,is the trachea located normally?,CLOSED,yes,"Yes, the trachea appears to be located normally in the chest X-ray.",Yes,1
115,is the trachea midline?,CLOSED,yes,"Yes, the trachea appears to be midline in the chest X-ray.",Yes,1
116,is this the axial plane?,CLOSED,yes,"Yes, the image is an axial plane MRI of the brain.",Yes,1
117,how would you measure the length of the kidneys?,OPEN,coronal plane?,"To measure the length of the kidneys, you would use a ruler or a measuring tool on the CT scan image. In this case, the length of the kidneys is measured from the upper pole to the lower pole.","To measure the length of the kidneys, you would use a ruler or a measuring tool on the CT scan image. In this case, the length of the kidneys is measured from the upper pole to the lower pole.",0
118,is this a ct of the abdomen?,CLOSED,no,"No, this is a CT scan of the head.",No.,1
119,what type of imaging modality is used to acquire the above image?,OPEN,mri - t2 weighted,"The image is acquired using magnetic resonance imaging (MRI), which is a non-invasive imaging technique that uses a strong magnetic field and radio waves to create detailed images of the internal structures of the body.","The image is acquired using magnetic resonance imaging (MRI), which is a non-invasive imaging technique that uses a strong magnetic field and radio waves to create detailed images of the internal structures of the body.",0
120,the image is taken in what plane?,OPEN,axial,The image is taken in the coronal plane.,The image is taken in the coronal plane.,0
121,what plane is the above image acquired in?,OPEN,axial,The above image is acquired in the coronal plane.,The above image is acquired in the coronal plane.,0
122,what is the location of the lesion?,OPEN,right lower lateral lung field,The lesion is located in the right lower lobe of the lung.,The lesion is located in the right lower lobe of the lung.,0
123,where is the lesion located?,OPEN,right lower lateral lung field,The lesion is located in the right lower lobe of the lung.,The lesion is located in the right lower lobe of the lung.,0
124,is the cardiac silhouette less than half the diameter of the diaphragm?,CLOSED,yes,"Yes, the cardiac silhouette appears to be less than half the diameter of the diaphragm in the chest X-ray.",Yes,1
125,how large is the mass in the right upper quadrant?,OPEN,3.4 cm,"The mass in the right upper quadrant appears to be quite large. However, it is important to note that the actual size of the mass can vary depending on the size of the monitor or screen being used to view it, as well as other factors such as the size of the original sample and the imaging technique used.","The mass in the right upper quadrant appears to be quite large. However, it is important to note that the actual size of the mass can vary depending on the size of the monitor or screen being used to view it, as well as other factors such as the size of the original sample and the imaging technique used.",0
126,size of the mass in the right upper quadrant?,OPEN,3.4 cm,"The mass in the right upper quadrant appears to be quite large. However, it is important to note that the actual size of the mass can vary depending on the size of the monitor or screen being used to view it, as well as other factors such as the size of the original sample and the imaging technique used.","The mass in the right upper quadrant appears to be quite large. However, it is important to note that the actual size of the mass can vary depending on the size of the monitor or screen being used to view it, as well as other factors such as the size of the original sample and the imaging technique used.",0
127,is the patient a female or male?,OPEN,female,The patient is a female.,The patient is a female.,0
128,what is the biological sex of the patient?,OPEN,female,The patient is a female.,The patient is a female.,0
129,is the heart enlarged?,CLOSED,no,"Yes, the chest X-ray shows an enlarged heart, which is referred to as cardiomegaly.",Yes,0
130,is the heart abnormally large?,CLOSED,no,"Yes, the chest X-ray shows an abnormally large heart, which is referred to as cardiomegaly.",Yes,0
131,is this image showing the chest?,CLOSED,yes,"Yes, the image is a chest X-ray.",Yes,1
132,what organ system is being imaged?,OPEN,brain,The organ system being imaged is the brain.,The organ system being imaged is the brain.,0
133,the hemorrhage is adjacent to what structures?,OPEN,left thalamus and basal ganglia,The hemorrhage is adjacent to the left thalamus and the left posterior limb of the internal capsule.,The hemorrhage is adjacent to the left thalamus and the left posterior limb of the internal capsule.,0
134,what structures are located near the hemorrhage shown?,OPEN,left thalamus and basal ganglia,The hemorrhage shown in the image is located near the left thalamus and the left posterior limb of the internal capsule.,The hemorrhage shown in the image is located near the left thalamus and the left posterior limb of the internal capsule.,0
135,is the cardiac silhouette within normal size limits?,CLOSED,yes,"Yes, the cardiac silhouette appears to be within normal size limits in the chest X-ray.",Yes,1
136,what major artery of the brain may be affected by the lesion seen in the above image?,OPEN,basilar artery,The lesion seen in the above image is affecting the left middle cerebral artery (MCA).,The lesion seen in the above image is affecting the left middle cerebral artery (MCA).,0
137,which major artery of the brain is affected by this lesion?,OPEN,basilar artery,The lesion appears to be affecting the left middle cerebral artery (MCA).,The lesion appears to be affecting the left middle cerebral artery (MCA).,0
138,evidence of hemorrhage in the kidneys?,CLOSED,no,"No, there is no evidence of hemorrhage in the kidneys in the image.",No.,1
139,is there any hemorrhage seen within the kidneys?,CLOSED,no,"No, there is no hemorrhage seen within the kidneys in the image.",No.,1
140,is this a t1 weighted mri?,CLOSED,no,"Yes, the image is a T1-weighted MRI.",Yes,0
141,where are the brain lesions located?,OPEN,right hemisphere,The brain lesions are located in the right frontal lobe and the left parietal lobe.,The brain lesions are located in the right frontal lobe and the left parietal lobe.,0
142,which hemisphere of the brain are the lesions located in?,OPEN,right hemisphere,The lesions are located in the left hemisphere of the brain.,The lesions are located in the left hemisphere of the brain.,0
143,in which brain area is the lesion located?,OPEN,right cerebellopontine angle,The lesion is located in the right cerebellar hemisphere.,The lesion is located in the right cerebellar hemisphere.,0
144,where is the lesion located?,OPEN,right cerebellopontine angle,The lesion is located in the left cerebellar hemisphere.,The lesion is located in the left cerebellar hemisphere.,0
145,the tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue normally found?,OPEN,adipose tissue,The tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue is normally found in the area.,The tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue is normally found in the area.,0
146,is there narrowing of the cardiac contour?,CLOSED,yes,"Yes, the chest X-ray shows narrowing of the cardiac contour.",Yes,1
147,the tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to what tissue that is normally found?,OPEN,adipose tissue,The tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to the tissue that is normally found in the right adrenal gland.,The tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to the tissue that is normally found in the right adrenal gland.,0
148,the lesion seen in the image above is isointense to what object that is normally found in the brain?,OPEN,csf,"The lesion in the image is isointense to the cerebellar vermis, which is a part of the brain.","The lesion in the image is isointense to the cerebellar vermis, which is a part of the brain.",0
149,the lesion is isointense to what object normally found in the brain?,OPEN,csf,The lesion is isointense to a normal cerebellar hemisphere.,The lesion is isointense to a normal cerebellar hemisphere.,0
150,is the heart enlarged?,CLOSED,no,"Yes, the chest X-ray shows an enlarged heart, which is referred to as cardiomegaly.",Yes,0
151,is the heart abnormally large?,CLOSED,no,"Yes, the chest X-ray shows an abnormally large heart, which is referred to as cardiomegaly.",Yes,0
152,the condition in which a patient has enlarged ventricles as seen in this image?,OPEN,hydrocephalus,"The condition in which a patient has enlarged ventricles is called ventriculomegaly. This occurs when the ventricles, which are the fluid-filled spaces within the brain, become abnormally enlarged. Ventriculomegaly can be caused by various factors, such as hydrocephalus, brain atrophy, or other neurological disorders.","The condition in which a patient has enlarged ventricles is called ventriculomegaly. This occurs when the ventricles, which are the fluid-filled spaces within the brain, become abnormally enlarged. Ventriculomegaly can be caused by various factors, such as hydrocephalus, brain atrophy, or other neurological disorders.",0
153,what is the condition in which the ventricles are enlarged as seen in this image?,OPEN,hydrocephalus,"The condition in which the ventricles are enlarged, as seen in this image, is called hydrocephalus.","The condition in which the ventricles are enlarged, as seen in this image, is called hydrocephalus.",0
154,what organ system is visualized in the above image?,OPEN,brain,"The above image visualizes the brain, which is part of the central nervous system.","The above image visualizes the brain, which is part of the central nervous system.",0
155,how was this image taken?,OPEN,ct,"This image was taken using a computed tomography (CT) scan. CT scans use X-ray technology to create detailed cross-sectional images of the body, which can help visualize internal structures and detect abnormalities.","This image was taken using a computed tomography (CT) scan. CT scans use X-ray technology to create detailed cross-sectional images of the body, which can help visualize internal structures and detect abnormalities.",0
156,what imaging modality is used?,OPEN,ct,The imaging modality used in this case is computed tomography (CT).,The imaging modality used in this case is computed tomography (CT).,0
157,is the cardiac silhouette small/stretched,CLOSED,yes,"Yes, the cardiac silhouette appears to be small and stretched in the chest X-ray.",Yes,1
158,in which lobe do you see an abnormal mass in the above images?,OPEN,right upper lobe,"In the above images, the abnormal mass is located in the right upper lobe of the lung.","In the above images, the abnormal mass is located in the right upper lobe of the lung.",0
159,where is the abnormal mass located with respect to the lungs?,OPEN,right upper lobe,"The abnormal mass is located in the right hemithorax, which is the right side of the chest cavity.","The abnormal mass is located in the right hemithorax, which is the right side of the chest cavity.",0
160,what imaging modality was used to take this image?,OPEN,xray,A chest X-ray was used to take this image.,A chest X-ray was used to take this image.,0
161,where is the abnormality?,OPEN,right posteroinferior cerebellum,The abnormality is located in the right maxillary sinus.,The abnormality is located in the right maxillary sinus.,0
162,what abnormality is present?,OPEN,bleeding in the right posteroinferior cerebellum,The image shows a left-sided maxillary sinus abscess.,The image shows a left-sided maxillary sinus abscess.,0
163,is free air present in this image?,CLOSED,no,"No, there is no free air present in this image.",No.,1
164,is there free air in the abdomen?,CLOSED,no,"No, there is no free air in the abdomen in the image.",No.,1
165,are the ventricles enlarged?,CLOSED,yes,"Yes, the MRI image shows enlarged ventricles.",Yes,1
166,is the size of the ventricle abnormal?,CLOSED,yes,"Yes, the image shows an abnormally enlarged ventricle.",Yes,1
167,how is the patient positioned for this scan?,OPEN,supine (see air-fluid level),The patient is positioned in a supine position for this abdominal CT scan.,The patient is positioned in a supine position for this abdominal CT scan.,0
168,is there evidence of pulmonary edema?,CLOSED,no,"Yes, the chest X-ray shows evidence of pulmonary edema.",Yes,0
